loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi,status,applied_date,approved_date
,CUST98656,Home,124619.96,6.45,12,2259.46,Active,2025-01-10,2025-01-12
,CUST98360,Auto,130188.68,7.82,12,1195.83,Active,2025-01-10,2025-01-12
,CUST98796,Auto,287676.53,9.54,120,2760.04,Active,2025-01-10,2025-01-12
,CUST98252,Education,34838.85,6.56,36,1412.41,Active,2025-01-10,2025-01-12
,CUST98369,Education,101374.59,11.44,60,320.81,Active,2025-01-10,2025-01-12
LN98006,CUST98116,Home,invalid_value,4.04,12,1640.02,Active,2025-01-10,2025-01-12
LN98007,CUST98444,Education,invalid_value,10.82,60,276.12,Active,2025-01-10,2025-01-12
LN98008,CUST98898,Personal,invalid_value,3.41,12,666.55,Active,2025-01-10,2025-01-12
LN98009,CUST98137,Personal,invalid_value,7.37,120,2082.85,Active,2025-01-10,2025-01-12
LN98010,CUST98851,Auto,152309.52,3.14,36,2044.24,Active,2025-01-10,2025-01-12
LN98011,CUST98107,Personal,243090.05,6.71,36,839.22,Active,2025-01-10,2025-01-12
LN98011,CUST98099,Education,202355.87,11.3,12,1720.84,Active,2025-01-10,2025-01-12
LN98011,CUST98962,Home,230457.8,4.38,24,2605.16,Active,2025-01-10,2025-01-12
LN98011,CUST98803,Home,208701.16,6.6,24,353.62,Active,2025-01-10,2025-01-12
LN981001,CUST98451,Auto,212232.66,9.59,12,1625.31,Active,2025-01-10,2025-01-12
LN981002,CUST98231,Home,194334.86,3.24,24,350.98,Active,2025-01-10,2025-01-12
LN98017,CUST98287,Education,143772.03,7.12,120,2991.82,Active,2025-01-10,2025-01-12
LN98018,CUST98796,Personal,59804.72,7.12,36,649.5,Active,2025-01-10,2025-01-12
LN98019,CUST98358,Home,162785.75,7.12,24,1071.37,Active,2025-01-10,2025-01-12
LN98020,CUST98775,Education,19361.79,7.12,120,2409.91,Active,2025-01-10,2025-01-12
LN98021,CUST98864,Education,7992.31,7.12,120,667.14,Active,2025-01-10,2025-01-12
LN98022,CUST98733,Auto,165531.09,7.12,120,431.35,Active,2025-01-10,2025-01-12
LN98023,CUST98712,Home,235451.09,3.84,12,1963.56,Active,2025-01-10,2025-01-12
LN98024,CUST98459,Personal,118446.73,10.74,24,497.97,Active,2025-01-10,2025-01-12
LN98025,CUST98018,Personal,220816.92,8.9,24,1452.88,Active,2025-01-10,2025-01-12
LN98026,CUST98486,Personal,146695.34,9.39,24,804.93,Active,2025-01-10,2025-01-12
LN98027,CUST98076,Education,17160.92,5.95,12,2289.82,Active,2025-01-10,2025-01-12
LN98028,CUST98580,Personal,9122.68,5.92,12,109.54,Active,2025-01-10,2025-01-12
LN98029,CUST98937,Education,128316.91,6.99,120,2797.07,Active,2025-01-10,2025-01-12
LN98030,CUST98821,Home,299254.11,11.52,12,553.54,Active,2025-01-10,2025-01-12
LN98031,CUST98152,Auto,7685.23,10.33,12,1673.49,Active,2025-01-10,2025-01-12
LN98032,CUST98067,Personal,141897.07,7.89,120,1057.97,Active,2025-01-10,2025-01-12
LN98033,CUST98526,Home,11847.62,9.18,120,852.33,Active,2025-01-10,2025-01-12
LN98034,CUST98353,Education,297762.64,8.72,12,2092.11,Active,2025-01-10,2025-01-12
LN98035,CUST98986,Education,80631.08,8.21,60,1730.24,Active,2025-01-10,2025-01-12
LN98036,CUST98313,Auto,242515.66,10.22,24,2794.13,Active,2025-01-10,2025-01-12
LN98037,CUST98045,Home,185808.02,8.44,120,2738.45,Active,2025-01-10,2025-01-12
LN98038,CUST98694,Personal,80419.31,5.84,24,1718.97,Active,2025-01-10,2025-01-12
LN98039,CUST98116,Auto,212795.08,7.78,60,2140.73,Active,2025-01-10,2025-01-12
LN98040,CUST98150,Education,47328.19,8.24,60,368.34,Active,2025-01-10,2025-01-12
LN98041,CUST98129,Auto,238993.02,11.22,60,1346.01,Active,2025-01-10,2025-01-12
LN98042,CUST98202,Auto,24241.65,10.04,24,390.72,Active,2025-01-10,2025-01-12
LN98043,CUST98728,Personal,229697.63,10.27,24,2160.57,Active,2025-01-10,2025-01-12
LN98044,CUST98349,Education,218276.76,6.64,60,1748.0,Active,2025-01-10,2025-01-12
LN98045,CUST98295,Home,23177.78,7.58,120,2786.89,Active,2025-01-10,2025-01-12
LN98046,CUST98069,Personal,98771.7,3.96,24,1778.86,Active,2025-01-10,2025-01-12
LN98047,CUST98024,Education,151756.04,10.17,120,1453.44,Active,2025-01-10,2025-01-12
LN98048,CUST98922,Education,282458.91,3.51,120,1445.5,Active,2025-01-10,2025-01-12
